25 100
20
1 30
2 3 237
2 30 -1
2 10 795
3 872 47
2 19 886
3 2 20
2 13 5
2 16 908
3 963 33
2 7 974
2 21 865
3 886 19
131
1 1000
2 35 482
2 104 706
2 46 218
2 40 89
2 37 354
2 21 894
3 706 104
2 43 684
2 24 588
2 69 776
3 684 43
2 23 682
2 10 431
3 354 37
3 482 35
2 7 344
2 49 490
2 12 38
3 588 24
2 21 600
3 218 46
2 50 211
2 72 921
3 490 49
2 47 497
2 57 274
2 40 150
3 894 21
2 46 368
3 431 10
2 8 451
2 48 859
3 497 47
2 39 510
2 3 739
2 3 650
2 29 470
2 38 555
2 4 67
2 35 1
2 17 424
3 274 57
3 470 29
2 4 300
3 89 40
2 42 89
2 8 480
2 17 315
2 12 274
2 22 711
2 23 747
3 211 50
2 28 218
2 18 626
3 859 48
2 32 867
2 5 665
3 776 69
3 150 40
2 3 817
3 921 72
2 19 940
2 12 168
2 2 792
3 180 -1
3 315 17
2 16 835
2 21 909
3 959 -1
2 39 960
2 14 317
3 168 12
2 43 153
2 8 256
2 23 794
2 1 141
2 14 200
3 867 32
3 200 14
2 41 859
2 18 198
3 510 39
2 23 510
3 711 22
2 32 706
2 19 489
3 859 41
2 6 877
3 747 23
2 15 759
2 5 861
2 22 885
3 451 8
2 13 454
3 621 -1
2 27 -1
2 17 535
3 424 17
2 7 430
2 7 76
2 14 776
2 2 57
2 47 -1
2 2 358
3 510 23
2 4 519
2 26 -1
3 835 16
3 665 5
2 8 836
2 26 654
3 368 46
2 6 392
3 153 43
3 820 -1
3 1 35
3 877 6
2 2 169
3 358 2
2 36 353
2 7 15
2 8 410
2 16 147
2 6 181
2 19 866
2 16 437
2 4 748
2 11 847
2 9 25
2 10 823
401
1 10000
2 47 4976
2 3354 5834
2 41 2467
2 3 3740
2 39 1214
2 12 4353
2 61 3093
3 1214 39
3 5834 3354
2 44 7489
2 51 1208
2 54 8739
3 0 -1
3 7533 -1
2 91 6210
2 414 397
2 100 1813
3 2508 -1
3 7533 -1
3 7533 -1
3 397 414
3 0 -1
3 6210 91
2 2400 5056
2 69 569
2 70 9361
3 5056 2400
2 2435 5038
2 79 8096
2 23 4659
2 11 4042
2 438 3228
2 343 2629
3 5038 2435
2 91 6210
2 42 6874
2 28 5602
2 41 5899
2 73 5276
3 3228 438
2 78 3408
2 20 6577
3 2629 343
2 78 2761
3 5276 73
2 46 5289
2 69 7168
3 2467 41
3 0 -1
2 40 2317
2 23 911
3 2761 78
2 13 2718
2 66 251
2 70 9680
2 85 9034
2 92 8411
2 53 7788
2 65 1503
2 57 2086
3 9361 70
2 29 9385
2 38 2893
2 5 2535
3 9034 85
3 1208 51
2 69 9054
2 55 1191
3 9054 69
2 38 9070
2 10 4198
2 2 3891
2 50 4487
3 9680 70
2 91 9661
2 60 4799
3 251 66
3 1191 55
2 40 264
2 72 1182
2 82 6694
2 25 8919
3 1813 100
2 88 1783
2 73 9210
3 6210 91
2 577 5970
2 36 756
3 5970 577
2 86 6215
2 116 6381
2 63 6046
2 16 5756
3 6046 63
3 9661 91
3 9414 -1
3 9210 73
3 2086 57
2 60 9677
2 56 2066
3 4487 50
2 5 4509
2 83 9205
2 12 6071
3 3093 61
2 56 3141
2 82 5427
2 10 5151
3 8739 54
2 20 8701
2 96 388
2 50 107
2 40 9525
3 388 96
3 5427 82
2 76 5430
2 70 401
2 17 9860
2 91 7615
3 4659 23
2 32 4640
2 94 7921
3 5899 41
2 87 5878
2 74 3576
2 62 7011
3 3408 78
2 50 3361
2 58 7334
3 6215 86
2 44 6210
2 1887 -1
3 4509 5
2 82 4461
2 56 1350
3 6874 42
2 72 1022
2 41 8272
3 569 69
2 24 601
3 3141 56
2 87 3102
3 7489 44
3 401 70
2 13 446
3 1022 72
3 8701 20
2 12 8705
3 9070 38
3 7615 91
2 57 7561
3 4353 12
3 5878 87
2 88 5877
2 94 9027
2 59 4305
2 54 1031
3 6381 116
3 7921 94
2 62 6384
2 16 7960
2 52 6867
2 87 1632
2 20 8594
2 13 8811
2 98 1919
2 84 2177
3 2317 40
2 18 2389
3 1031 54
2 20 1048
2 58 2600
3 5430 76
3 5335 -1
2 98 5419
2 6 3272
2 61 2986
2 40 7683
2 100 7426
3 8411 92
3 4640 32
2 71 8418
3 5419 98
3 6867 52
2 83 5427
2 26 4658
2 23 6882
2 78 3454
2 12 2806
3 6694 82
2 83 6698
2 60 3937
2 35 3799
3 2407 -1
2 88 4081
3 9677 60
2 15 9705
3 1350 56
3 1503 65
3 4976 47
3 1919 98
3 9027 94
3 3937 60
2 77 1404
2 41 4984
2 54 9047
3 2177 84
2 97 2207
3 2893 38
3 4799 60
2 98 4785
2 5 1966
2 100 2852
2 16 1548
2 68 1295
2 66 3934
3 2600 58
2 57 2600
3 9205 83
2 81 9202
2 14 368
2 54 503
2 71 9599
2 28 9776
3 6698 83
2 84 6697
2 60 660
2 8 6507
3 9525 40
2 28 9492
3 6210 44
3 2066 56
2 31 6218
2 93 2042
2 45 6128
2 4 6314
2 48 2447
2 88 5181
3 9202 81
2 5 9240
2 55 9287
3 1783 88
2 18 1833
2 88 9126
2 44 5066
3 2986 61
2 2 3026
3 3272 6
3 7683 40
3 1404 77
3 1632 87
2 9 1694
2 44 1433
2 22 3264
3 3264 22
2 59 3245
2 57 7674
2 76 1591
3 4785 98
3 6697 84
3 9776 28
2 30 4819
2 100 6689
2 53 9763
2 38 4732
2 73 4880
2 48 1744
2 87 5649
3 5427 83
2 49 5444
2 80 9898
3 107 50
3 4880 73
3 5877 88
2 69 5887
2 4 130
2 52 4890
3 6384 62
3 4890 52
2 75 6375
3 8418 71
2 97 8405
2 77 4878
2 7 61
3 6128 45
2 22 6139
2 19 189
3 1833 18
3 5025 -1
2 43 1857
3 4461 82
3 6689 100
3 9492 28
2 60 4481
2 58 6710
2 71 9471
3 8175 -1
2 43 8014
2 66 818
2 56 7872
3 9763 53
2 95 9742
2 91 4377
2 59 4570
3 660 60
3 9471 71
3 2042 93
3 2207 97
2 28 2166
3 1857 43
2 90 2023
2 84 2249
2 88 9462
2 94 1832
3 756 36
2 58 692
3 3245 59
3 5181 88
3 7561 57
2 58 3246
2 71 7564
3 61 7
3 3576 74
2 89 3591
2 18 56
3 5649 87
3 9860 17
2 78 5186
3 5289 46
3 8014 43
3 9742 95
3 7564 71
3 4481 60
2 13 5347
2 96 9761
2 16 7592
2 66 5660
2 6 8033
2 88 5785
2 68 5979
2 42 970
2 39 1105
2 89 6780
2 63 6622
3 4305 59
3 2166 28
2 49 4268
2 17 2172
2 13 5541
2 79 6918
2 73 8959
2 57 4490
2 18 7276
2 66 8190
3 970 42
2 9 986
3 368 14
2 28 361
3 7426 100
2 41 7471
3 9462 88
2 13 9500
2 17 7112
3 986 9
3 56 18
2 15 57
2 23 979
3 4490 57
2 38 4500
2 51 8846
3 3102 87
3 1591 76
3 9599 71
2 61 3106
2 7 9605
3 3591 89
2 4 3634
2 75 1591
2 48 3559
2 41 3668
3 7011 62
2 4 7052
3 8405 97
2 90 8408
2 42 8525
3 1744 48
2 64 1735
2 48 8336
2 22 8753
2 6 9655
2 46 9536
2 46 8636
2 56 9429
2 29 5387
2 69 5271
3 911 23
3 7168 69
2 95 7155
2 16 923
3 9429 56
401
1 10000
2 36 4982
2 98 2442
2 5 7506
2 1427 8042
3 8042 1427
3 7511 -1
3 7511 -1
2 58 8726
3 2442 98
2 82 2450
3 2532 -1
2 1735 5394
2 1077 686
2 32 3741
2 57 9363
2 481 7878
2 50 3111
2 5 4375
2 23 2095
2 68 309
3 4982 36
3 686 1077
2 67 1202
2 74 4850
2 16 1674
2 28 775
3 5394 1735
2 70 6180
3 7878 481
3 6180 70
2 50 6190
2 514 5300
3 2450 82
3 377 -1
2 39 6853
2 50 8093
2 14 2607
2 98 7150
2 95 6499
3 5300 514
3 4375 5
2 98 5508
2 34 4294
2 50 5191
3 7511 -1
2 46 5875
2 14 8427
2 48 7778
3 8726 58
2 84 8860
2 85 3408
3 2118 -1
2 78 9671
2 37 4570
2 53 4007
2 99 2816
2 93 2316
3 5508 98
2 39 5538
2 100 8600
3 803 -1
2 55 9126
2 56 1443
2 44 1870
2 28 988
2 70 541
3 0 -1
2 57 126
2 10 5721
2 87 5346
2 85 8242
2 76 6017
2 35 5040
3 4294 34
3 5346 87
3 3493 -1
2 71 4279
2 73 5353
2 10 7639
2 68 7925
2 52 6343
3 1016 -1
2 49 6699
2 2967 -1
3 3408 85
2 491 3205
2 25 7008
2 63 7345
2 2 9544
3 4279 71
2 16 4307
2 15 9867
3 5721 10
2 26 5713
3 1870 44
3 9126 55
2 8 9149
2 88 1848
2 85 4141
2 65 4414
2 28 4714
2 18 3881
2 96 9212
2 97 8998
3 8998 97
3 9749 -1
3 6699 49
2 55 6696
3 5538 39
3 4141 85
2 49 5545
2 67 4150
2 94 8999
2 55 2189
3 7345 63
2 69 7342
2 54 2481
3 7008 25
2 95 6973
3 3205 491
3 7925 68
2 2 3450
3 6696 55
2 60 3275
2 95 3549
2 75 7922
2 47 6700
3 9363 57
3 2816 99
3 309 68
3 8999 94
2 387 2672
2 37 343
3 2672 387
3 6190 50
3 5353 73
2 93 2819
3 4150 67
2 34 5376
3 7150 98
2 37 7186
3 343 37
2 8 358
2 28 6204
2 42 4162
2 91 9380
2 75 9009
2 41 2991
3 8242 85
3 6343 52
2 77 8246
2 67 6332
2 71 2684
2 24 1097
3 8600 100
2 15 8643
3 541 70
2 47 547
2 43 8520
2 17 8750
2 71 860
2 56 428
3 5545 49
2 23 5550
3 4007 53
2 98 3981
2 10 679
2 3 269
3 2819 93
3 4850 74
2 79 4851
2 28 2859
3 8246 77
2 5 8282
2 19 1577
2 23 1344
2 91 1970
2 60 1739
2 62 5449
2 20 5633
2 65 8324
2 95 8165
3 9212 96
3 8324 65
3 4162 42
3 6499 95
3 1443 56
3 2189 55
3 4414 65
3 3032 -1
2 35 6532
3 5449 62
3 5550 23
3 3275 60
3 5921 -1
2 32 3289
3 2481 54
3 7922 75
2 5 7957
2 55 4419
3 7639 10
2 20 7634
2 5 4190
2 95 5474
3 6532 35
2 86 6506
2 13 9262
2 52 1446
3 3549 95
2 23 3585
3 9380 91
2 73 9373
2 17 2208
2 9 2503
2 88 8313
3 1739 60
2 2 1768
2 38 5788
2 27 5295
2 6 3515
2 27 3661
2 66 7858
2 13 8021
2 64 3353
2 91 3179
2 23 51
2 81 9568
3 5875 46
2 122 5860
3 6506 86
3 2684 71
2 49 6525
2 88 2696
2 88 6418
2 56 6609
2 61 7685
2 23 7561
3 269 3
3 1446 52
2 36 1454
2 27 257
3 860 71
3 2095 23
2 56 867
3 9671 78
2 27 9744
2 27 2121
2 71 7247
2 32 7111
2 6 9938
2 9 5128
2 30 4236
2 13 4128
2 34 6131
2 39 4965
2 57 4768
2 89 3782
2 55 4633
2 5 6797
2 69 9175
3 4419 55
3 1202 67
2 91 4401
2 37 1214
2 42 2918
3 3782 89
2 87 3783
3 4401 91
2 90 4401
3 4768 57
2 28 4782
3 6131 34
2 86 6105
3 126 57
2 97 117
2 2 6281
2 9 9319
3 5860 122
2 11 5916
2 26 9482
3 3585 23
3 1214 37
3 8427 14
2 86 1189
3 6332 67
2 27 3577
2 89 6306
2 90 8415
3 2696 88
2 55 2712
3 3111 50
2 7 3102
3 8520 43
3 3515 6
2 53 8547
3 2991 41
3 5474 95
2 33 5505
2 84 2989
2 50 3489
3 1189 86
3 2918 42
2 27 1219
2 64 2906
2 2 1169
2 59 1265
2 21 9808
2 17 2551
2 61 5427
3 9009 75
3 7858 66
2 70 9011
3 2316 93
2 17 2355
2 2 2436
2 40 7871
2 37 2271
2 44 5563
2 91 7413
2 39 9677
3 4782 28
2 62 4765
2 14 8806
3 988 28
3 867 56
3 4714 28
2 55 922
2 40 1017
2 84 820
2 73 2776
3 2271 37
3 8313 88
2 66 2257
2 50 8326
3 1848 88
2 48 1846
3 9938 6
2 38 9922
2 17 8695
2 8 2662
3 1454 36
2 23 1460
3 9808 21
2 69 9784
2 89 1485
3 1846 48
2 100 1820
2 89 1369
2 44 5849
2 65 5939
3 820 84
2 25 850
2 41 711
2 45 614
2 40 3920
3 711 41
2 39 712
3 1017 40
2 82 996
2 10 6927
3 2906 64
2 41 2917
3 8750 17
2 58 8730
2 19 4521
2 47 1611
2 61 1698
2 35 4344
3 3289 32
3 1485 89
2 6 1527
3 3783 87
2 28 3813
3 547 47
2 84 507
3 9011 70
2 20 9036
2 46 9079
3 1219 27
2 71 1182
2 13 8983
2 10 3306
2 26 4713
2 53 294
3 6418 88
2 75 6422
2 23 3132
3 5376 34
2 50 5349
3 9175 69
2 41 9189
3 4128 13
3 6204 28
2 47 4111
3 3353 64
2 10 3378
2 67 6202
2 6 2467
2 56 2376
2 3 395
1101
1 100000
2 220 49890
2 809 24540
2 457 74826
2 919 87182
2 649 62143
2 151 37544
2 7432 8554
3 8554 7432
2 469 12035
3 12504 -1
2 918 30987
2 420 43582
2 7347 14848
2 657 5689
2 10474 63572
2 586 55833
2 752 80856
2 989 93556
3 63572 10474
2 331 68643
3 62143 649
2 845 62108
2 750 46571
2 3192 39042
2 487 71656
2 835 52554
2 377 65609
3 14848 7347
2 510 18267
2 565 15103
2 472 21422
2 434 2627
2 712 8834
3 18267 510
2 344 18373
2 547 58990
3 56419 -1
2 640 34404
2 647 27844
2 815 83987
3 87182 919
2 434 88962
3 52554 835
2 185 52879
2 472 77833
2 487 97029
2 403 86680
2 516 91218
2 112 51438
2 673 54112
2 626 16707
3 77833 472
2 134 78002
2 601 79195
2 678 76303
2 583 19778
3 62108 845
2 553 62296
2 194 64132
2 260 60786
2 229 73370
2 706 69962
2 422 67103
2 886 22774
2 76 4337
3 12035 469
2 880 11884
2 176 1225
2 914 57247
2 516 45028
2 219 48496
2 894 35847
2 936 32686
2 532 29473
2 654 26269
2 973 7103
2 286 95644
2 240 98638
2 867 82364
2 260 13803
3 39042 3192
3 86680 403
2 421 40428
2 202 86781
2 518 38802
2 26 42202
2 833 10298
2 758 85412
2 612 87666
3 32686 936
2 526 32891
2 324 90145
2 563 92363
2 839 42485
3 2627 434
2 411 2663
3 79195 601
2 354 79319
2 54 41498
3 91218 516
2 15 91408
3 40428 421
2 6 40406
3 26269 654
2 190 26501
2 245 52092
2 858 50345
2 778 63101
2 887 64524
2 265 4918
2 45 3683
2 453 1805
2 595 61373
3 1805 453
2 545 1759
2 723 59800
3 42485 839
2 899 42455
2 439 72537
2 731 73847
2 267 479
2 784 78335
2 730 79899
2 61 47878
2 928 48838
2 225 27155
2 50 25900
3 35847 894
3 72537 439
3 1759 545
2 152 36218
3 2663 411
2 870 2107
2 288 72612
2 377 35442
2 589 36662
3 59800 723
3 85412 758
2 932 85325
3 45028 516
2 856 44858
2 701 59811
2 799 97677
2 842 99018
3 59811 701
2 177 60073
2 111 68028
2 986 66051
3 83987 815
2 56202 -1
2 70 84243
2 596 37950
2 329 94930
2 514 96222
2 699 39513
2 983 40463
3 40463 983
3 62296 553
2 22 62523
2 106 40902
2 413 19041
2 350 20716
2 461 53357
2 643 54987
2 160 14503
3 22774 886
2 954 22740
3 11884 880
2 917 12008
2 906 17400
3 82364 867
2 969 82441
2 309 16033
2 935 77024
2 156 75715
3 73370 229
3 57247 914
2 586 57411
2 807 84415
2 581 58203
3 85325 932
2 110 85946
2 17 56906
2 298 69319
2 365 70979
2 55 33883
3 13803 260
2 133 13647
2 385 32205
3 39513 699
2 260 39733
2 347 28808
3 26501 190
2 946 26079
3 21422 472
2 797 21504
2 922 30035
2 271 73238
2 346 91720
2 560 90658
2 100 11519
3 46571 750
3 15103 565
2 547 46522
2 90 15303
2 344 44258
2 672 23781
2 461 81794
2 622 83515
2 211 47368
2 277 45979
3 77024 935
2 313 77335
2 320 8295
2 571 6439
2 46 9899
2 38 89751
2 486 86175
2 182 85493
2 691 13796
2 251 13160
2 202 1653
3 8834 712
2 789 8862
2 703 2978
2 515 88362
3 27844 647
2 999 27594
2 231 87209
2 78 41838
3 65609 377
3 97677 799
2 135 98009
2 518 14724
2 616 15405
2 189 65636
2 518 92982
2 561 3752
2 513 47961
2 342 62652
2 342 62074
3 16707 626
2 229 16756
2 59 25595
2 526 51558
3 34404 640
2 12 34684
3 83515 622
3 32891 526
2 907 32783
2 321 83666
2 689 33966
3 99860 -1
3 26079 946
2 468 26318
3 73847 731
2 267 74034
2 177 34980
2 471 52372
2 148 59731
2 21 60507
2 442 73550
3 22740 954
2 896 22593
2 412 74357
2 203 5334
2 324 4503
2 380 68201
2 167 67693
2 458 98162
2 194 97665
2 95 40609
2 188 41159
2 184 57075
2 253 56536
3 96222 514
2 953 96003
2 355 62
2 156 907
2 323 72216
2 352 21109
3 54112 673
2 286 54259
2 267 54632
3 72216 323
2 101 72327
2 340 53868
2 130 75434
3 20716 350
3 23781 672
2 308 23860
2 382 20544
2 296 75939
3 33966 689
2 146 34238
3 51558 526
2 88 51777
3 25900 50
2 587 25692
2 131 17127
2 223 16437
3 6439 571
2 458 6495
2 181 39436
2 268 40065
2 347 35845
3 74357 412
2 6 74560
2 373 11627
2 87 11281
2 203 94636
2 97 95403
2 53 24327
2 117 23616
2 314 26813
2 263 89835
2 338 89404
2 242 77037
2 14 77818
2 123 10060
2 284 69004
2 257 69661
3 53868 340
2 330 53873
2 51 73043
3 82441 969
3 30987 918
3 56536 253
3 6495 458
2 430 82745
2 308 31427
2 567 6441
2 50 83395
2 358 82321
2 468 56428
2 33 31175
3 2978 703
2 523 3068
2 158 31891
2 277 61071
2 834 -1
2 22 18868
2 111 19560
3 3068 523
2 274 3193
3 69319 298
3 92363 563
2 483 92282
2 30 69459
2 277 29175
3 5689 657
3 14503 160
2 212 5883
3 10298 833
2 130 10667
2 167 10341
2 309 10884
2 266 5577
2 71 6232
2 119 71440
2 198 70724
2 6 34085
3 48838 928
2 645 48980
2 147 34460
2 79 47179
2 201 47628
2 150 91496
2 156 37319
2 286 53067
2 221 22336
2 213 36409
2 145 41622
2 49 42034
2 217 35191
2 17 34829
3 8862 789
2 894 8810
2 114 85300
2 254 85683
2 228 46275
3 25595 59
3 91496 150
3 89751 38
2 226 25407
3 42455 899
2 790 42510
2 162 91490
2 49 42344
2 218 43332
2 8 45842
2 99 48798
2 73 49721
2 494 -1
2 212 74590
2 28 74416
2 188 60563
2 250 60253
3 54987 643
2 93 55319
3 14724 518
2 184 14803
2 184 55530
2 314 54952
2 217 14536
2 300 14995
2 246 38551
3 25692 587
2 299 25826
2 25 44117
3 54952 314
2 340 54939
3 47368 211
2 118 47384
3 4918 265
3 64524 887
2 450 64756
2 153 5004
3 17400 906
2 117 17757
2 815 -1
3 82745 430
3 44858 856
2 289 45077
2 133 82970
2 392 17311
2 387 17930
2 113 45547
2 291 44694
2 119 64481
3 56428 468
2 70 56627
2 325 65258
2 241 83128
2 150 82749
3 6441 567
2 547 6429
2 219 84005
2 187 37729
2 43 63984
3 22593 896
2 340 22916
2 276 23298
3 73550 442
3 2107 870
2 268 2390
2 18 2113
2 147 2852
3 90658 560
3 49890 220
2 112 90882
2 155 49992
2 112 73715
2 26 91188
3 26318 468
2 658 26140
2 305 90523
3 36662 589
2 21 36960
2 45 22714
2 227 36677
2 225 37037
2 179 2171
3 46522 547
2 270 46706
3 7103 973
2 973 7149
2 247 1860
2 28 1513
2 52 13503
2 112 12986
3 69962 706
2 178 70232
2 22 70064
3 75939 296
2 130 76022
2 291 70421
2 145 51248
2 121 51603
3 57075 184
2 259 57037
3 58990 547
2 690 58912
2 38 51959
2 14 80735
3 96003 953
3 3752 561
2 562 96198
2 568 3748
2 64 96862
3 48980 645
2 620 48999
2 228 95950
2 152 65862
3 85683 254
2 204 85708
3 27594 999
2 996 27596
2 101 79735
3 19778 583
2 725 19745
2 37 87077
2 50 87528
3 37950 596
3 25633 -1
2 623 37922
2 116 83497
3 17930 387
2 10 18118
2 57 18222
2 237 17877
3 8810 894
3 88362 515
2 950 8782
2 29 88605
2 43 88776
3 93556 989
2 697 93719
2 317 88283
3 65258 325
2 203 65319
3 67103 422
2 118 67306
3 77037 242
2 51 77132
3 21504 797
3 63101 778
2 489 63244
2 151 21823
2 223 21530
2 72 22119
3 78136 -1
2 210 67066
2 61 67528
2 30 63843
3 14536 217
2 16 14637
3 7149 973
3 99018 842
2 1 7635
2 121 99378
2 486 7062
2 346 7792
3 30035 922
2 599 30290
2 165 99667
2 407 98924
3 48999 620
2 276 49171
2 120 30972
2 16 30139
3 41159 188
2 268 41119
2 197 48935
2 58 49555
3 32205 385
2 511 32160
3 8782 950
2 566 8974
2 294 8647
3 74590 212
3 39436 181
2 176 39438
2 280 9579
2 16 74688
2 111 63063
2 195 94428
3 51248 145
2 160 51240
3 98162 458
3 79319 354
2 17 79418
2 424 98179
3 76303 678
2 173 76555
2 336 76762
2 190 76258
3 96198 562
2 137 96451
2 144 79513
2 293 79122
3 57037 259
2 481 56926
2 59 96695
3 15405 616
2 435 15495
2 83 96273
2 53 31291
3 76258 190
2 8 76349
2 43 93588
3 83395 50
2 114 92816
3 92982 518
2 351 93083
2 64 3543
2 179 27398
2 115 28642
3 11627 373
2 156 11735
3 60253 250
2 23 60367
3 19745 725
2 557 19829
3 37922 623
2 351 38058
2 70 92139
2 21 56791
2 25 56510
3 70979 365
3 35191 217
2 94 71134
3 53067 286
3 66051 986
2 808 66136
3 50345 858
2 77 50655
2 461 50170
3 64132 194
2 45 50963
2 103 64202
2 78858 -1
2 211 53105
2 7 35296
3 38802 518
2 321 38957
2 32 51108
2 103 50796
2 18 71019
2 106 71281
3 51603 121
3 18373 344
3 28808 347
2 495 18326
2 238 28847
2 65 51631
3 31175 33
2 69 73896
2 177 58011
3 37037 225
2 248 37026
3 82321 358
2 247 82378
3 18326 495
2 211 18468
2 7519 -1
2 9 73607
3 28642 115
3 23860 308
2 568 23746
2 35 28702
2 109 46550
2 8 47073
2 77 31153
2 130 78170
2 162 40722
2 129 49828
3 74826 457
2 323 74907
3 49828 129
3 40065 268
2 143 40128
2 168 75248
3 46706 270
2 342 46695
2 142 74734
3 35845 347
3 12008 917
3 64756 450
2 107 12385
2 344 64787
3 1513 28
2 421 11927
3 87209 231
2 357 12560
2 156 87243
2 191 35923
3 27596 996
2 981 27649
3 32160 511
2 37 32397
2 95 32561
2 122 32162
2 12 1521
2 172 49807
2 140 76386
2 89 40466
3 8974 566
3 46275 228
2 171 9174
2 55 46375
2 45 9439
2 48 9033
3 27649 981
2 25 28127
2 345 27679
2 318 28268
3 2390 268
3 45979 277
2 393 45916
2 354 2424
2 40 76230
3 20926 -1
3 36677 227
2 4 36789
2 112 3040
2 45 59953
3 53873 330
2 346 53865
2 142 91020
3 36218 152
3 52372 471
2 169 52523
3 40902 106
3 98638 240
3 86781 202
2 35 86851
2 209 98659
3 45077 289
3 67306 118
2 487 45022
2 94 36214
2 61 67371
2 473 -1
2 148 40927
3 51959 38
2 116 51920
3 95950 228
2 173 96015
3 66136 808
2 857 66111
2 106 91258
3 3193 274
2 248 3223
3 96015 173
2 87 96058
2 39 25710
3 65862 152
2 253 65841
2 168 33702
3 82378 247
2 264 82370
3 15495 435
2 409 15508
3 82749 150
2 17 82793
2 117 86923
3 14803 184
3 27155 225
3 97665 194
2 82 97721
2 148 14750
2 46 27239
3 37544 151
2 122 37541
2 35 97888
2 111 97563
2 180 86666
2 469 -1
2 101 18323
2 74 18736
3 89404 338
3 78335 784
2 353 78534
2 197 89517
2 203 78903
2 38 78398
3 6429 547
2 194 6585
2 233 6804
3 98179 424
2 295 98254
2 205 6341
3 74034 267
2 299 74041
3 58011 177
3 23746 568
2 224 23918
2 40 58080
3 97721 82
2 115 97723
3 54632 267
2 392 54546
3 84415 807
2 954 84329
3 35296 7
2 274 35162
2 91 65179
3 47628 201
2 49 47665
2 105 52733
3 24540 809
2 383 24702
2 187 24447
2 22 25235
3 18222 57
3 65636 189
2 65 65649
2 45 18203
2 121 64633
2 68 52396
3 70421 291
2 207 70463
3 58912 690
2 33148 -1
2 285 59115
2 61 58919
2 193 59469
2 61 81670
3 98254 295
3 14750 148
2 403 98200
3 97029 487
3 65522 -1
2 31 97229
2 312 14668
3 23616 117
2 333 23579
3 21530 223
2 341 21471
2 233 96961
2 162 97330
3 20544 382
2 90 20702
2 239 20831
2 99 20494
2 61 24204
2 99 72185
3 7062 486
2 397 7137
3 59731 148
2 8 59803
3 61373 595
2 699 61361
2 91 72474
3 73238 271
2 208 73246
3 71656 487
2 626 71559
2 1 45750
3 8138 -1
2 91 4870
2 150 5170
3 83497 116
2 275 83380
2 100 64343
3 79735 101
2 156 79700
2 30 64099
2 37 69556
3 47179 79
2 245 47110
2 154 69296
3 7792 346
2 12 7959
2 217 8024
3 84329 954
2 982 84315
2 141 7727
3 32783 907
